"pack","used","x","y"
"Red Deer",0,570195.627711068,5689344.34750065
"Red Deer",0,560739.511384592,5694688.75680347
"Red Deer",0,563760.564301853,5688722.56304409
"Red Deer",0,549599.838340026,5706014.01419709
"Red Deer",0,575473.092069731,5712272.72531272
"Red Deer",0,566726.08021482,5711130.34842073
"Red Deer",0,562813.564980242,5706851.44763236
"Red Deer",0,563531.594832866,5686027.41760619
"Red Deer",0,563291.119876852,5686210.20163464
"Red Deer",0,588441.37651968,5731255.63007379
"Red Deer",0,594960.016114604,5729722.19313676
"Red Deer",0,567969.118010087,5726622.87978284
"Red Deer",0,582109.892061029,5728518.94680729
"Red Deer",0,560689.472945116,5714887.19678536
"Red Deer",0,593005.740822212,5726265.79473205
"Red Deer",0,592220.404226018,5716301.67661271
"Red Deer",0,564481.077627262,5704960.50642231
"Red Deer",0,555781.143939372,5702896.35929469
"Red Deer",0,577808.662724747,5729660.98028499
"Red Deer",0,606291.785031541,5714922.33234137
"Red Deer",0,597508.746275095,5712870.48105794
"Red Deer",0,575376.131474163,5731181.48985885
"Red Deer",0,591780.069346865,5711988.67747969
"Red Deer",0,579159.527091503,5706753.16886989
"Red Deer",0,597357.823461838,5720662.79976855
"Red Deer",0,603806.847737351,5717192.30017527
"Red Deer",0,592813.126078272,5714906.53359321
"Red Deer",0,566777.397767674,5731735.51623487
"Red Deer",0,572674.961952015,5718276.14970578
"Red Deer",0,601183.908838632,5713812.36223207
"Red Deer",0,555396.807837418,5724617.01934483
"Red Deer",0,557689.203743802,5704484.01118364
"Red Deer",0,599162.887077607,5729949.36855821
"Red Deer",0,583687.975909345,5703366.86963518
"Red Deer",0,583029.091216413,5711693.57286561
"Red Deer",0,566422.195643353,5700811.29540297
"Red Deer",0,610583.894094652,5720696.98392763
"Red Deer",0,600932.637601103,5719945.16744658
"Red Deer",0,560527.336884239,5692876.74325085
"Red Deer",0,555362.88255566,5704807.49066498
"Red Deer",0,582592.955717562,5739060.03995807
"Red Deer",0,572893.889759553,5690652.45543564
"Red Deer",0,588106.804987216,5710203.33988803
"Red Deer",0,589885.423382874,5717271.64768133
"Red Deer",0,558864.280986935,5689569.31672416
"Red Deer",0,573131.906874885,5732921.68565109
"Red Deer",0,571129.487335717,5734351.55848726
"Red Deer",0,598101.22797262,5720902.3243237
"Red Deer",0,575025.144349469,5693752.96925189
"Red Deer",0,556785.034558055,5696712.35923215
"Red Deer",0,589723.835320265,5707625.2841879
"Red Deer",0,561431.551484542,5703858.2765859
"Red Deer",0,587518.415674574,5706235.28306517
"Red Deer",0,585260.192649687,5730083.06363705
"Red Deer",0,564297.397942894,5703614.31083691
"Red Deer",0,573553.625401858,5741697.30317727
"Red Deer",0,583005.447522923,5730395.3242765
"Red Deer",0,600145.577120596,5716643.97383427
"Red Deer",0,566431.234340493,5690421.09723451
"Red Deer",0,582544.369829793,5713914.96962742
"Red Deer",0,589602.521780114,5737628.98595216
"Red Deer",0,574845.576482978,5718904.89922408
"Red Deer",0,595657.787762582,5730147.71177478
"Red Deer",0,571397.145266684,5719170.25189997
"Red Deer",0,567546.174323264,5736203.97945139
"Red Deer",0,586380.680531857,5738355.70393864
"Red Deer",0,576634.232984711,5724511.77029032
"Red Deer",0,583877.348913897,5746844.8269812
"Red Deer",0,574890.491267035,5743600.85779186
"Red Deer",0,570009.913275263,5735899.11939753
"Red Deer",0,590253.142603856,5726013.49250352
"Red Deer",0,578770.272770806,5722682.2180082
"Red Deer",0,577844.301574163,5705984.5008324
"Red Deer",0,558430.259794764,5693396.55762508
"Red Deer",0,570431.419786602,5691997.90888289
"Red Deer",0,576006.913140927,5746448.28665182
"Red Deer",0,583200.155985813,5706855.25113736
"Red Deer",0,597327.260194353,5715924.55533523
"Red Deer",0,568715.120935482,5739186.70093214
"Red Deer",0,583309.238682313,5711395.88035167
"Red Deer",0,601013.335728532,5730055.52517852
"Red Deer",0,563233.78113472,5701155.98175752
"Red Deer",0,593003.45910918,5742829.11291587
"Red Deer",0,590643.489973474,5720079.05012702
"Red Deer",0,552469.383403042,5713529.84460485
